Pixel,Wavelength,Wavenumber,Processed
998,1053.67,3248.48,806
999,1053.89,3250.47,810
1000,1054.11,3252.46,803
1001,1054.33,3254.45,822
1002,1054.55,3256.43,808
1003,1054.77,3258.41,810
1004,1054.99,3260.39,810
1005,1055.22,3262.37,806
1006,1055.44,3264.35,812
1007,1055.66,3266.32,797
1008,1055.88,3268.3,808
1009,1056.1,3270.27,803
1010,1056.31,3272.24,803
1011,1056.53,3274.21,799
1012,1056.75,3276.17,795
1013,1056.97,3278.14,803
1014,1057.19,3280.1,797
1015,1057.41,3282.06,801
1016,1057.63,3284.02,803
1017,1057.85,3285.97,804
1018,1058.07,3287.93,803
1019,1058.29,3289.88,804
1020,1058.51,3291.83,801
1021,1058.72,3293.78,791
1022,1058.94,3295.73,791
1023,1059.16,3297.67,797
